Exercise,Answer
~(P ∨ (P & Q)) ∨ P,K → A
(P & (Q ∨ P)) & ~P,G → T
((P → Q) → P) → P,C ∨ S
~(~(P → Q) → P),F ∨ D
(P → Q) ↔ ~P,~(J & K)
P → (Q → (P & Q)),(J ∨ K) & ~(J & K)
(P ∨ Q) ↔ ( ~P → Q),R ∨ (S & C)
~(P ∨ (P → Q)),(R ∨ O) & ~S
(P → Q) ↔ (Q → P),J → S
(P → Q) ↔ ( ~Q → ~P),~J → ~S
(P ∨ Q) → (P & Q),C → ~F
(P & Q) ∨ (P & R),(L & H) → G
[P → (Q & R)] → [P → R],~(L & H) → ~G
[P → (Q ∨ R)] → [P → Q],~J & ~K   [or: ~(J ∨ K)]
[(P ∨ Q) → R] → [P → R],L & ( ~T & ~B)   [or: L & ~(T ∨ B)]
[(P & Q) → R] → [P → R],~P → ~G
[(P & Q) → R] → [(Q & ~R) → ~P],~~J → ~K  [J → ~K]
[P ↔ (Q ↔ R)] ↔ [(P ↔ Q) ↔ R],~(W & R) → ~S
"For each formula, say whether it is a",No answer available
A: ~(P&Q),No answer available
A: P→Q,No answer available
A: ~(P&Q),No answer available
A: P→Q,No answer available
A: ~(P ∨Q),No answer available
A: P→Q,No answer available
A: ~(P ∨Q),No answer available
A: P→Q,No answer available
A: ~(P →Q),No answer available
A: ~P,No answer available
A: ~(P →Q),No answer available
A: ~P,No answer available
A: ~(P ↔Q),No answer available
A: ~(P ↔Q),"24, I"
A: ~(P ↔Q),No answer available
A: (P&Q) → R,No answer available
A: ~(P ↔Q),No answer available
A: (P ∨Q) → R,No answer available
A: P↔Q,No answer available
A: (P&Q) →R,No answer available
A: P↔Q,No answer available
A: P → (Q&R),No answer available
A: P→Q,No answer available
A: P → (Q ∨R),No answer available
P→Q; P / Q,Fj
P→Q; Q / P,Jk
P→Q; ~Q / ~P,Sj & Sk
P→Q; ~P / ~Q,Tjk
P∨Q; ~P / Q,Sjk
P∨Q; P / ~Q,Ifjk
~(P&Q); P / ~Q,Ifkj
~(P&Q); ~P / Q,Tcj & Tck
P↔Q; ~P / ~Q,Mjk
P↔Q; Q / P,Mj & Mk
P∨Q; P →Q / Q,Mj &  Mk
P∨Q; P →Q / P&Q,(Mj & Mk) &  Mjk
P→Q; P →~Q / ~P,Sj &  Sk
P→Q; ~P→Q / Q,Sj  Sk
P∨Q; ~P→~Q / P&Q,(Lj & Lk)   (Fj &  Fk)
P→Q; ~P→~Q / P↔Q,(Fj &  Fk)  (Sj & Sk)
~P→~Q; ~Q→~P / P↔Q,Mjk  Rjk
~P→~Q; ~Q→~P / P&Q,(Sj  Sk) &  (Sj & Sk)
P∨~Q; P ∨Q / P,Fjk  Rjk
P→Q; P ∨Q / P↔Q,Sjk &  Cjk
~(P →Q); P →~P / ~P& ~Q,No answer available
~(P&Q); ~Q→P / P,No answer available
P→Q; Q →R / P→R,No answer available
P→Q; Q →R; ~P→R / R,No answer available
P→Q; Q →R / P&R,No answer available
P→Q; Q →R; R →P / P↔R,No answer available
P→Q; Q →R / R,No answer available
P→R; Q →R / (P ∨Q) →R,No answer available
P→Q; P →R / Q&R,No answer available
P∨Q; P →R; Q →R / R,No answer available
P→Q; Q →R; R →~P / ~P,No answer available
P→(Q ∨R); Q&R / ~P,No answer available
P→(Q&R); Q →~R / ~P,No answer available
P&(Q ∨R); P →~Q / R,No answer available
P→(Q →R); P& ~R / ~Q,No answer available
~P∨Q; R →P; ~(Q&R) / ~R,No answer available
P→Q; P / Q,No answer available
P→Q; Q / P,No answer available
P→Q; ~Q / ~P,No answer available
P→Q; ~P / ~Q,No answer available
P∨Q; ~P / Q,No answer available
P∨Q; P / ~Q,No answer available
~(P&Q); P / ~Q,No answer available
~(P&Q); ~P / Q,No answer available
P↔Q; ~P / ~Q,No answer available
P↔Q; Q / P,No answer available
P∨Q; P →Q / Q,No answer available
P∨Q; P →Q / P&Q,No answer available
P→Q; P →~Q / ~P,No answer available
P→Q; ~P→Q / Q,No answer available
P∨Q; ~P→~Q / P&Q,No answer available
P→Q; ~P→~Q / P↔Q,No answer available
~P→~Q; ~Q→~P / P↔Q,No answer available
~P→~Q; ~Q→~P / P&Q,No answer available
P∨~Q; P ∨Q / P,No answer available
P→Q; P ∨Q / P↔Q,No answer available
~(P →Q); P →~P / ~P& ~Q,No answer available
~(P&Q); ~Q→P / P,No answer available
P→Q; Q →R / P→R,No answer available
P→Q; Q →R; ~P→R / R,No answer available
P→Q; Q →R / P&R,No answer available
P→Q; Q →R; R →P / P↔R,No answer available
P→Q; Q →R / R,No answer available
P→R; Q →R / (P ∨Q) →R,No answer available
P→Q; P →R / Q&R,No answer available
P∨Q; P →R; Q →R / R,No answer available
P→Q; Q →R; R →~P / ~P,No answer available
P→(Q ∨R); Q&R / ~P,No answer available
P→(Q&R); Q →~R / ~P,No answer available
P&(Q ∨R); P →~Q / R,No answer available
P→(Q →R); P& ~R / ~Q,No answer available
~P∨Q; R →P; ~(Q&R) / ~R,No answer available
"Although it is RAINING, I plan to go JOGGING thi s afternoon.",No answer available
"It is not RAINING, but it is still too WET to pl ay.",No answer available
JAY and KAY are Sophomores.,No answer available
"It is DINNER time, but I am not HUNGRY.",No answer available
"Although I am TIRED, I am not QUITTING.",No answer available
"Jay and Kay are roommates, but they hate one ano ther.",No answer available
"Jay and Kay are Republicans, but they both hate Nixon.",No answer available
"KEEP trying, and the answer will APPEAR.",No answer available
"GIVE him an inch, and he will TAKE a mile.",No answer available
Either I am CRAZY or I just SAW a flying saucer .,No answer available
Either Jones is a FOOL or he is DISHONEST.,No answer available
JAY and KAY won't both be present at graduation .,No answer available
"JAY will win, or KAY will win, but not both.",No answer available
"Either it is RAINING, or it is SUNNY and COLD.",No answer available
"It is RAINING or OVERCAST, but in any case it i s not SUNNY.",No answer available
"If JONES is honest, then so is SMITH.",No answer available
"If JONES isn't a crook, then neither is SMITH.",No answer available
"Provided that I CONCENTRATE, I will not FAIL.",No answer available
"I will GRADUATE, provided I pass both LOGIC and  HISTORY.",No answer available
I will not GRADUATE if I don't pass both LOGIC and HISTORY.,No answer available
Neither JAY nor KAY is able to attend the meeti ng.,No answer available
"Although I have been here a LONG time, I am nei ther TIRED nor BORED.",No answer available
I will GRADUATE this semester only if I PASS in tro logic.,No answer available
KAY will attend the party only if JAY does not.,No answer available
I will SUCCEED only if I WORK hard and take RIS KS.,No answer available
"I will go to the BEACH this weekend, unless I a m SICK.",No answer available
"Unless I GOOF off, I will not FAIL intro logic.",No answer available
I won't GRADUATE unless I pass LOGIC and HISTOR Y.,No answer available
"In order to ACE intro logic, it is sufficient t o get a HUNDRED on every",No answer available
"In order to PASS, it is necessary to average at  least FIFTY.",No answer available
"In order to become a PHYSICIAN, it is necessary  to RECEIVE an M.D. and",No answer available
"In order to PASS, it is both necessary and suff icient to average at least",No answer available
"Getting a HUNDRED on every exam is sufficient, but not necessary, for",No answer available
"TAKING all the exams is necessary, but not suff icient, for ACING intro",No answer available
"In order to get into MEDICAL school, it is nece ssary but not sufficient to",No answer available
In order to be a BACHELOR it is both necessary and sufficient to be,No answer available
"In order to be ARRESTED, it is sufficient but n ot necessary to COMMIT a",No answer available
"If it is RAINING, I will play BASKETBALL; other wise, I will go JOGGING.",No answer available
"If both JAY and KAY are home this weekend, we w ill go to the BEACH;",No answer available
"JONES will win the championship unless he gets INJURED, in which case",No answer available
Neither JAY nor KAY is able to attend the meeti ng.,No answer available
"Although I have been here a LONG time, I am nei ther TIRED nor BORED.",No answer available
I will GRADUATE this semester only if I PASS in tro logic.,No answer available
KAY will attend the party only if JAY does not.,No answer available
I will SUCCEED only if I WORK hard and take RIS KS.,No answer available
"I will go to the BEACH this weekend, unless I a m SICK.",No answer available
"Unless I GOOF off, I will not FAIL intro logic.",No answer available
I won't GRADUATE unless I pass LOGIC and HISTOR Y.,No answer available
"In order to ACE intro logic, it is sufficient t o get a HUNDRED on every",No answer available
"In order to PASS, it is necessary to average at  least FIFTY.",No answer available
"In order to become a PHYSICIAN, it is necessary  to RECEIVE an M.D. and",No answer available
"In order to PASS, it is both necessary and suff icient to average at least",No answer available
"Getting a HUNDRED on every exam is sufficient, but not necessary, for",No answer available
"TAKING all the exams is necessary, but not suff icient, for ACING intro",No answer available
"In order to get into MEDICAL school, it is nece ssary but not sufficient to",No answer available
In order to be a BACHELOR it is both necessary and sufficient to be,No answer available
"In order to be ARRESTED, it is sufficient but n ot necessary to COMMIT a",No answer available
"If it is RAINING, I will play BASKETBALL; other wise, I will go JOGGING.",No answer available
"If both JAY and KAY are home this weekend, we w ill go to the BEACH;",No answer available
"JONES will win the championship unless he gets INJURED, in which case",No answer available
"We will have DINNER and attend the CONCERT, pro vided that JAY and",No answer available
"If neither JAY nor KAY can make it, we should e ither POSTPONE or",No answer available
"Both Jay and Kay will go to the beach this week end, provided that neither of",No answer available
"I'm damned if I do, and I'm damned if I don't.",No answer available
"If I STUDY too hard I will not ENJOY college, b ut at the same time I will not",No answer available
"If you NEED a thing, you will have THROWN it aw ay, and if you THROW a",No answer available
"If you WORK hard only if you are THREATENED, th en you will not",No answer available
"If I do not STUDY, then I will not PASS unless the prof ACCEPTS bribes.",No answer available
"Provided that the prof doesn't HATE me, I will PASS if I STUDY.",No answer available
"Unless logic is very DIFFICULT, I will PASS pro vided I CONCENTRATE.",No answer available
"Unless logic is EASY, I will PASS only if I STU DY.",No answer available
"Provided that you are INTELLIGENT, you will FAI L only if you GOOF off.",No answer available
"If you do not PAY, Jones will KILL you unless y ou ESCAPE.",No answer available
"If he CATCHES you, Jones will KILL you unless y ou PAY.",No answer available
"Provided that he has made a BET, Jones is HAPPY  if and only if his horse",No answer available
"If neither JAY nor KAY comes home this weekend,  we shall not stay HOME",No answer available
"If you MAKE an appointment and do not KEEP it, then I shall be ANGRY",No answer available
"If I am not FEELING well this weekend, I will n ot GO out unless it is",No answer available
"If JAY will go only if KAY goes, then we will C ANCEL the trip unless KAY",No answer available
"We will have DINNER and attend the CONCERT, pro vided that JAY and",No answer available
"If neither JAY nor KAY can make it, we should e ither POSTPONE or",No answer available
"Both Jay and Kay will go to the beach this week end, provided that neither of",No answer available
"I'm damned if I do, and I'm damned if I don't.",No answer available
"If I STUDY too hard I will not ENJOY college, b ut at the same time I will not",No answer available
"If you NEED a thing, you will have THROWN it aw ay, and if you THROW a",No answer available
"If you WORK hard only if you are THREATENED, th en you will not",No answer available
"If I do not STUDY, then I will not PASS unless the prof ACCEPTS bribes.",No answer available
"Provided that the prof doesn't HATE me, I will PASS if I STUDY.",No answer available
"Unless logic is very DIFFICULT, I will PASS pro vided I CONCENTRATE.",No answer available
"Unless logic is EASY, I will PASS only if I STU DY.",No answer available
"Provided that you are INTELLIGENT, you will FAI L only if you GOOF off.",No answer available
"If you do not PAY, Jones will KILL you unless y ou ESCAPE.",No answer available
"If he CATCHES you, Jones will KILL you unless y ou PAY.",No answer available
"Provided that he has made a BET, Jones is HAPPY  if and only if his horse",No answer available
"If neither JAY nor KAY comes home this weekend,  we shall not stay HOME",No answer available
"If you MAKE an appointment and do not KEEP it, then I shall be ANGRY",No answer available
"If I am not FEELING well this weekend, I will n ot GO out unless it is",No answer available
"If JAY will go only if KAY goes, then we will C ANCEL the trip unless KAY",No answer available
"If KAY will come to the party only if JAY does not come, then provided we",No answer available
"If KAY will go only if JAY does not go, then ei ther we will CANCEL the trip",No answer available
"If JAY will go only if KAY goes, then we will C ANCEL the trip unless KAY",No answer available
"If you CONCENTRATE only if you are INSPIRED, th en you will not",No answer available
"If you are HAPPY only if you are DRUNK, then un less you are DRUNK you",No answer available
"In order to be ADMITTED to law school, it is ne cessary to have GOOD",No answer available
"I am HAPPY only if my assistant is COMPETENT, b ut if my assistant is",No answer available
"If you do not CONCENTRATE well unless you are A LERT, then you will",No answer available
"If you do not CONCENTRATE well unless you are A LERT, then provided",No answer available
"If you CONCENTRATE well only if you are ALERT, then provided that you",No answer available
"If you CONCENTRATE only if you are THREATENED, then you will not",No answer available
"If neither JAY nor KAY is home this weekend, we  will go to the BEACH;",No answer available
"If KAY will come to the party only if JAY does not come, then provided we",No answer available
"If KAY will go only if JAY does not go, then ei ther we will CANCEL the trip",No answer available
"If JAY will go only if KAY goes, then we will C ANCEL the trip unless KAY",No answer available
"If you CONCENTRATE only if you are INSPIRED, th en you will not",No answer available
"If you are HAPPY only if you are DRUNK, then un less you are DRUNK you",No answer available
"In order to be ADMITTED to law school, it is ne cessary to have GOOD",No answer available
"I am HAPPY only if my assistant is COMPETENT, b ut if my assistant is",No answer available
"If you do not CONCENTRATE well unless you are A LERT, then you will",No answer available
"If you do not CONCENTRATE well unless you are A LERT, then provided",No answer available
"If you CONCENTRATE well only if you are ALERT, then provided that you",No answer available
"If you CONCENTRATE only if you are THREATENED, then you will not",No answer available
"If neither JAY nor KAY is home this weekend, we  will go to the BEACH;",No answer available
(1) P ; P → Q ; Q → R ; R → S  / S,No answer available
